topic,sub_topic,risk_factor,question,instruction
Non-permanence,Risk mitigation ,Stakeholder engagement,"Does the project provide tangible benefits to local communities, such as employment, training, or infrastructure improvements?","Look for: Documentation of community benefits, including job creation, training programs, revenue-sharing mechanisms, or environmental co-benefits. Reports should highlight how local populations directly gain from the project.  If absent/vague: If benefits are not explicitly listed, check whether the project operates in a region where community reliance on land or biomass resources is high. If no benefits are provided, resistance to the project is more likely.  Assess: If clear local benefits exist, low risk. If no community benefits are identified, moderate to high risk, as dissatisfaction could increase non-permanence risks."
Non-permanence,Risk mitigation ,Stakeholder engagement,Has the project addressed potential conflicts or disputes related to land use or resource access?,"Look for: Evidence of conflict resolution mechanisms, such as land tenure agreements, dispute resolution frameworks, or mediation processes. Reports should clarify how disputes over land or resources are managed.  If absent/vague: If land-use conflicts are unaddressed, check whether the project is in an area with competing land claims or resource dependencies. Lack of dispute resolution mechanisms increases risk.  Assess: If conflicts are proactively managed, low risk. If land/resource disputes are unresolved or ignored, moderate to high risk, as community pushback could lead to project failure."
Non-permanence,Risk mitigation ,Mitigatory activities,Does the project contribute to a buffer pool or other crediting mechanism to account for potential carbon reversals?,"Look for: Evidence that the project allocates a portion of credits to a buffer pool or similar risk-mitigation mechanism. Reports should state the percentage of credits set aside and the methodology used to determine the amount.  If absent/vague: If no buffer pool contribution is explicitly stated, check for indirect risk-management strategies (e.g., third-party insurance, additional conservatism in credit issuance). If none are mentioned, assume the project lacks structured risk mitigation.  Assess: If a buffer pool is well-defined and aligned with industry best practices, low risk. If missing or unclear, moderate to high risk, as no safety net exists for potential reversals."
Non-permanence,Risk mitigation ,Mitigatory activities,Has the project implemented mitigatory activities beyond methodology requirements to enhance permanence?,"Look for: Documentation of additional safeguards, such as conservative crediting approaches, enhanced biochar stability measures, or long-term monitoring beyond standard requirements. The audit should clarify whether these activities exceed baseline methodology expectations.  If absent/vague: If no additional measures are explicitly described, check whether the project is in a high-risk environment (e.g., tropical climates with rapid degradation or uncertain land tenure). If high risks exist without added safeguards, assume greater exposure to non-permanence.  Assess: If extra mitigatory actions are in place, low risk. If none are provided but risks are present, moderate to high risk."
Non-permanence,Risk mitigation ,Mitigatory activities,Does the project apply a conservative approach in credit issuance to account for scientific or methodological uncertainties?,"Look for: Whether the project discounts a portion of its credited removals due to uncertainties in decay rates, soil interaction, or long-term durability. Reports should mention conservative accounting where scientific uncertainties exist.  If absent/vague: If uncertainties are acknowledged but not quantified, check for references to peer-reviewed studies, pilot testing, or expert evaluations that justify permanence assumptions. If no conservatism is applied, assume a higher risk of over-crediting.  Assess: If conservative crediting is used, low risk. If no adjustments are made despite uncertainties, moderate to high risk, as removals may be overstated."
Non-permanence,Risk mitigation ,Mitigatory activities,Does the project have a long-term monitoring plan to ensure carbon sequestration remains effective over time?,"Look for: Evidence of periodic verification, soil testing, or remote sensing to track biochar stability. Reports should define the monitoring timeline (e.g., every 5-10 years) and responsible parties.  If absent/vague: If monitoring is not explicitly mentioned, check for references to verification by carbon standards or third-party auditors. If no long-term monitoring exists, assume the project lacks oversight.  Assess: If a robust monitoring plan is in place, low risk. If monitoring is absent or minimal, moderate to high risk, as carbon losses may go undetected."
Policy,Effectiveness,Government effectiveness,"Are there well-defined legislative frameworks and regulations that support biochar projects at the national, regional, or local levels?","Look for: Evidence of specific biochar-related policies, carbon removal regulations, or broader climate policies that support the project. Audit reports should reference relevant laws, incentive programs, or policy commitments.  If absent/vague: If no explicit policies are mentioned, check for indirect signals such as government participation in climate agreements, net-zero commitments, or related funding initiatives (e.g., carbon credit markets, agricultural sustainability programs).  Assess: If clear legislative support exists, low risk. If policies are weak, inconsistent, or absent, moderate to high risk, as lack of policy stability may undermine the project’s long-term viability."
Policy,Effectiveness,Government effectiveness,How effective is the implementation and enforcement of policies relevant to biochar projects?,"Look for: Reports or external references discussing policy enforcement, regulatory oversight, or implementation success. Indicators include government agency involvement, permitting efficiency, and enforcement of carbon credit regulations.  If absent/vague: If policy enforcement is not mentioned, check for historical regulatory challenges in the country (e.g., past failures in emissions trading schemes, weak environmental governance). If enforcement is unreliable, assume higher policy risk.  Assess: If policies are consistently enforced and stable, low risk. If policy enforcement is weak or inconsistent, moderate to high risk, as project compliance and support could be uncertain."
Policy,Effectiveness,Government effectiveness,Does the government allocate financial resources (domestically or internationally) to support biochar projects and broader carbon removal initiatives?,"Look for: Evidence of funding mechanisms, subsidies, tax incentives, or grants for biochar or engineered carbon removals. Reports may mention national budgets, international climate finance programs, or carbon credit purchasing commitments.  If absent/vague: If no funding mechanisms are stated, check for indirect indicators such as government participation in global carbon markets or climate finance initiatives (e.g., partnerships with Verra, Puro, or UN-backed programs).  Assess: If strong financial support exists, low risk. If funding is uncertain, inconsistent, or absent, moderate to high risk, as financial instability may affect project sustainability."
Policy,Effectiveness,Government effectiveness,Could strong policy support for biochar projects paradoxically reduce the project’s additionality or carbon efficacy?,"Look for: Cases where government policies or subsidies already drive biochar adoption, potentially reducing the project’s role in delivering net new removals. Reports should clarify whether biochar production would still occur without carbon credit incentives.  If absent/vague: If additionality concerns are not addressed, check for evidence of government-mandated biochar production, subsidies covering the majority of costs, or regulations requiring biochar use. These factors could weaken additionality.  Assess: If government policies drive biochar deployment without reliance on carbon markets, moderate to high risk. If the project remains necessary despite policy support, low risk."
Policy,Regulatory backdrop,National climate and green investment landscape,"Does the country have policies, incentives, or regulatory frameworks that support biochar and engineered carbon removal projects?","Look for: Evidence of government policies, tax incentives, subsidies, grants, or carbon pricing mechanisms supporting biochar or carbon removals. Audit reports should reference relevant national climate strategies, emissions reduction targets, or green finance initiatives.  If absent/vague: If no direct policies are mentioned, check for indirect indicators such as participation in global carbon markets, climate finance mechanisms (e.g., Green Climate Fund), or industry-specific sustainability mandates.  Assess: If strong government support exists, low risk. If policies are weak, fragmented, or inconsistent, moderate to high risk, as a lack of regulatory stability may impact project success."
Policy,Regulatory backdrop,National climate and green investment landscape,"What is the level of green investment activity in the country, and does it create favorable conditions for biochar projects?","Look for: Presence of domestic and international investment in climate change mitigation, such as government funding programs, venture capital for biochar startups, or foreign direct investment (FDI) in carbon markets.  If absent/vague: If no investment data is provided, check for related indicators such as the country’s ranking in climate finance reports, renewable energy investment levels, or past funding for carbon sequestration initiatives.  Assess: If green investment activity is high, low risk. If investment is lacking or volatile, moderate to high risk, as financing constraints may hinder project scalability."
Policy,Regulatory backdrop,National climate and green investment landscape,"Are there competing removal projects in the country, and how does this impact the market potential for biochar?","Look for: Information on other removal projects (e.g., BECCS, DAC, afforestation) and their scale, scope, and location. Reports should evaluate how alternative technologies or projects affect market competition and investment priorities.  If absent/vague: If competing projects are not explicitly listed, check for government funding allocations to other carbon removal methods. If multiple alternatives receive heavy subsidies, biochar projects may face investment or policy disadvantages.  Assess: If market competition is low or biochar has distinct advantages, low risk. If multiple removal projects compete for limited funding or policy attention, moderate to high risk."
Policy,Regulatory backdrop,National climate and green investment landscape,"What are the key risks associated with investing in biochar projects in this country (e.g., policy instability, market volatility, infrastructure limitations)?","Look for: Reports discussing policy risks (e.g., sudden regulatory changes), market uncertainties (e.g., carbon credit price fluctuations), supply chain issues (e.g., feedstock shortages), and infrastructure gaps (e.g., lack of pyrolysis facilities).  If absent/vague: If risks are not explicitly assessed, check for external references to policy instability, economic downturns affecting green investment, or logistical constraints in biochar production.  Assess: If investment risks are minimal and infrastructure is well-developed, low risk. If significant regulatory, financial, or logistical risks exist, moderate to high risk, as these factors may impact project viability."
Policy,Regulatory backdrop,National climate and green investment landscape,Is the biochar project financially viable and scalable within the national investment landscape?,"Look for: Evidence of financial feasibility studies, projected return on investment (ROI), scalability assessments, and co-benefits such as agricultural productivity improvements that enhance commercial attractiveness.  If absent/vague: If no feasibility assessment is provided, check for indicators of financial sustainability, such as long-term funding sources, corporate buyers of biochar credits, or cost-reduction strategies (e.g., integration with bioenergy production).  Assess: If the project demonstrates strong scalability and financial feasibility, low risk. If financial sustainability is uncertain or dependent on unstable policies, moderate to high risk."
Policy,Regulatory backdrop,Major policies,"Are there major national, regional, or international policies that support biochar or carbon removal projects?","Look for: Documentation referencing key government policies, climate targets, renewable energy mandates, emissions reduction commitments, or carbon pricing mechanisms that support biochar deployment. Reports should clarify how these policies directly impact the project.  If absent/vague: If no major policies are cited, check for broader climate commitments (e.g., net-zero pledges, carbon neutrality goals, Paris Agreement compliance) that could indirectly support biochar.  Assess: If strong policies exist and are effectively implemented, low risk. If supportive policies are weak, inconsistent, or unimplemented, moderate to high risk, as policy uncertainty may affect project longevity."
Policy,Regulatory backdrop,Major policies,"Have government or external initiatives already driven biochar adoption in the country, potentially reducing the project’s additionality?","Look for: Evidence that existing subsidies, mandates, or industry initiatives have led to widespread biochar deployment without reliance on carbon finance. Reports should clarify whether carbon credits are necessary for project feasibility.  If absent/vague: If additionality is not discussed, check whether biochar is mandated or heavily subsidized in the country. If policy-driven adoption is high, the project’s need for carbon finance may be reduced.  Assess: If major policies already drive biochar adoption, moderate to high risk. If the project is clearly additional and carbon finance-dependent, low risk."
Policy,Regulatory backdrop,Major policies,How effectively have major policies supporting biochar projects been implemented?,"Look for: Reports on policy implementation success, regulatory enforcement, funding allocation efficiency, and industry adoption levels. Policies should have clear evidence of execution.  If absent/vague: If no implementation details are given, check for past policy failures, funding shortfalls, or weak regulatory oversight. If policies exist but are poorly enforced, they may not provide meaningful support.  Assess: If policies are well-executed and drive real industry growth, low risk. If policies exist but are weakly implemented, moderate risk, as their impact remains uncertain."
Policy,Regulatory backdrop,Major policies,"Do local, regional, national, or international policies interact in a way that creates risks or inconsistencies for biochar projects?","Look for: Conflicts or misalignments between different policy levels (e.g., national biochar subsidies vs. local restrictions, international climate commitments vs. domestic inaction). Reports should clarify how multi-level regulations align.  If absent/vague: If regulatory alignment is not discussed, check for contradictory policies (e.g., a country promoting biochar while restricting biomass feedstock use). Overlapping or conflicting regulations increase project complexity.  Assess: If policy frameworks are well-aligned, low risk. If policies conflict or create regulatory uncertainty, moderate to high risk, as unclear guidance could disrupt project operations."
Policy,Regulatory backdrop,Nationally Determined Contributions,Does the project’s host country include biochar or engineered carbon removals in its NDC commitments?,"Look for: Documentation referencing the country’s official NDC submission to the UNFCCC, particularly regarding carbon removal priorities, biochar, or engineered sequestration methods. Reports should clarify whether biochar is explicitly mentioned or indirectly relevant.  If absent/vague: If NDC references are missing, check for national climate policies, net-zero targets, or references to nature-based solutions that could implicitly support biochar.  Assess: If biochar is a key NDC priority, moderate risk (potentially reducing additionality). If biochar is not included, low risk, as the project is more likely to be additional."
Policy,Regulatory backdrop,Nationally Determined Contributions,"If biochar is included in the NDC, is there evidence that the government would pursue similar projects without carbon finance?","Look for: Policies, funding programs, or national strategies that suggest government-driven biochar deployment independent of carbon markets. Reports should discuss government-led sequestration efforts or subsidy programs.  If absent/vague: If no clear programs are listed, check for indirect indicators such as government-backed research into biochar, large-scale pilot projects, or industry incentives.  Assess: If government action is strong enough to drive biochar adoption without private investment, moderate to high risk (potentially reducing additionality). If government reliance on carbon markets is evident, low risk."
Policy,Regulatory backdrop,Nationally Determined Contributions,"Does the country have a history of meeting or failing to meet its NDC targets, and how might this impact biochar projects?","Look for: Reports or external sources discussing the country’s progress toward its NDC goals, including past successes, shortfalls, or policy adjustments. Reports should indicate whether carbon removal projects are increasingly relied upon to bridge gaps.  If absent/vague: If historical NDC performance is not explicitly discussed, check for external climate rankings, carbon emissions trends, or governmental climate reports. A history of missed targets suggests increasing reliance on carbon removal.  Assess: If NDC targets are on track, government intervention in biochar projects may be low risk. If targets are consistently missed, moderate risk, as future government action could impact market demand."
Policy,Regulatory backdrop,Nationally Determined Contributions,Is there a risk that evolving NDC commitments could change the policy environment for biochar projects over time?,"Look for: References to upcoming policy revisions, carbon market adjustments, or international climate agreements that could influence the project’s regulatory landscape. Reports should mention whether NDC updates could shift government incentives or funding.  If absent/vague: If no discussion of future NDC changes exists, check for historical NDC updates and policy shifts in the country’s climate strategy. Nations frequently revising their NDCs may pose regulatory uncertainty.  Assess: If NDC policies are stable and supportive, low risk. If NDC evolution is unpredictable or could reduce the need for voluntary carbon credits, moderate to high risk."
Policy,Regulatory backdrop,National classification,"How is the host country classified in terms of economic development (e.g., Least Developed Country (LDC), low-income, middle-income, or high-income)?","Look for: Official classification by organizations such as the United Nations (LDCs), World Bank (income levels), or other international economic bodies. Reports should clearly indicate whether the country is classified as an LDC, emerging economy, or high-income country.  If absent/vague: If national classification is not explicitly mentioned, check for references to GDP, economic development indices, or reliance on international aid or climate finance.  Assess: If classified as an LDC, low policy risk, as fewer government-driven alternatives to carbon finance exist. If a high-income country, moderate to high risk, as government-led initiatives may reduce additionality."
Policy,Regulatory backdrop,National classification,"Does the national classification suggest barriers to biochar project implementation (e.g., lack of infrastructure, investment constraints, or regulatory gaps)?","Look for: Reports discussing infrastructure limitations, financial barriers, or regulatory weaknesses that could hinder biochar deployment. The project should acknowledge whether these constraints exist and how they are addressed.  If absent/vague: If no barriers are explicitly stated, check for indicators such as reliance on international funding, underdeveloped carbon markets, or past project failures due to logistical issues.  Assess: If classification indicates significant barriers but the project has clear mitigation strategies, moderate risk. If barriers exist without mitigation, high risk. If no major barriers exist, low risk."
Policy,Regulatory backdrop,National classification,"Does the country’s classification affect the additionality of the project (i.e., would the project have happened without carbon finance)?","Look for: Evidence that government incentives, industry practices, or existing policies could have led to biochar adoption without carbon credits. Reports should discuss whether carbon finance is essential for project feasibility.  If absent/vague: If additionality is not directly addressed, check for subsidy programs, mandated carbon removal policies, or national sustainability goals that could reduce the project’s dependence on carbon finance.  Assess: If the country is an LDC or low-income country, additionality is likely high (low risk). If the project operates in a high-income country with strong sustainability mandates, moderate to high risk, as alternative funding may exist."
Policy,Regulatory backdrop,National classification,"How does the national classification influence the policy risk for biochar projects (e.g., regulatory stability, investment attractiveness, or market confidence)?","Look for: Reports discussing regulatory predictability, investor confidence, and policy continuity in the host country. Projects in politically unstable or heavily regulated markets may face more uncertainty.  If absent/vague: If regulatory stability is not mentioned, check for past changes in carbon market policies, economic volatility, or external ratings on business/investment climate (e.g., World Bank Doing Business Index, Transparency International corruption rankings).  Assess: If the country has a stable regulatory framework, low risk. If policy instability, investment hesitation, or corruption concerns exist, moderate to high risk."
